City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,25.09,69,75,4.63,US,1683859428
1,baringo,0.4667,35.9667,19.11,71,35,2.67,KE,1683859429
2,ola,59.5833,151.2833,7.86,76,53,2.71,RU,1683859429
3,port elizabeth,-33.918,25.5701,14.89,91,20,7.72,ZA,1683859429
4,papatowai,-46.5619,169.4708,11.3,90,100,4.24,NZ,1683859429
5,ust-nera,64.5667,143.2,5.56,57,100,1.5,RU,1683859430
6,kourou,5.1552,-52.6478,24.03,93,92,2.25,GF,1683859430
7,atafu village,-8.5421,-172.5159,29.03,77,58,5.5,TK,1683859430
8,callao,-12.0667,-77.15,22.16,73,100,5.66,PE,1683859430
9,adamstown,-25.066,-130.1015,22.03,61,100,8.21,PN,1683859205
10,mirny,62.5353,113.9611,2.51,84,100,4.42,RU,1683859431
11,iskateley,67.6803,53.1512,0.51,99,100,3.01,RU,1683859431
12,yellowknife,62.456,-114.3525,18.29,32,75,2.57,CA,1683859255
13,smithers,54.7804,-127.1743,18.18,34,75,2.06,CA,1683859431
14,tura,25.5198,90.2201,31.92,39,62,0.72,IN,1683859432
15,ushuaia,-54.8,-68.3,9.81,62,75,5.14,AR,1683859432
16,punta arenas,-53.15,-70.9167,8.06,76,0,7.2,CL,1683859249
17,castillos,-34.1667,-53.8333,11.81,68,31,0.85,UY,1683859432
18,staraya russa,57.9944,31.3608,9.14,64,94,1.88,RU,1683859433
19,tiksi,71.6872,128.8694,-9.56,78,90,7.38,RU,1683859433
20,port macquarie,-31.4333,152.9167,22.16,61,0,3.53,AU,1683859319
21,egilsstadir,65.2653,-14.3948,8.95,66,0,7.72,IS,1683859433
22,port-aux-francais,-49.35,70.2167,8.17,91,100,20.23,TF,1683859434
23,anadyr,64.75,177.4833,2.78,74,0,2.68,RU,1683859434
24,andalgala,-27.5819,-66.3165,14.4,72,5,0.48,AR,1683859434
25,waitangi,-43.9535,-176.5597,9.34,82,48,1.79,NZ,1683859435
26,puerto baquerizo moreno,-0.9,-89.6,26.06,87,95,3.6,EC,1683859436
27,paraiso,9.8383,-83.8656,20.8,90,65,0.65,CR,1683859436
28,sao joao da barra,-21.6403,-41.0511,21.71,83,100,2.87,BR,1683859436
29,grytviken,-54.2811,-36.5092,-4.53,65,1,1.51,GS,1683859437
30,vorgashor,67.5833,63.95,-7.99,89,22,2.75,RU,1683859437
31,utrik,11.2278,169.8474,27.41,79,81,7.71,MH,1683859437
32,bubaque,11.2833,-15.8333,26.07,76,100,7.24,GW,1683859438
33,grand-lahou,5.1367,-5.0242,27.33,87,100,3.5,CI,1683859438
34,port lincoln,-34.7333,135.8667,16.49,57,12,4.8,AU,1683859438
35,bredasdorp,-34.5322,20.0403,11.24,82,85,4.53,ZA,1683859439
36,olonkinbyen,70.9221,-8.7187,0.28,90,76,6.75,SJ,1683859439
37,mili,6.0815,171.735,27.65,82,85,8.25,MH,1683859439
38,uturoa,-16.7333,-151.4333,25.39,86,100,5.48,PF,1683859439
39,necocli,8.4234,-76.786,25.91,91,91,1.19,CO,1683859440
40,badger,64.8,-147.5333,15.35,39,75,3.09,US,1683859440
41,bethel,41.3712,-73.414,15.48,67,0,1.54,US,1683859440
42,albany,42.6001,-73.9662,14.33,70,87,2.24,US,1683859313
43,minas de marcona,-15.2119,-75.1103,14.2,87,42,3.82,PE,1683859441
44,san sebastian de la gomera,28.0916,-17.1133,20.2,82,40,0.51,ES,1683859441
45,isla del bosque,22.7333,-105.85,23.4,64,22,3.27,MX,1683859441
46,bilibino,68.0546,166.4372,1.6,94,100,1.52,RU,1683859441
47,basse-terre,16.1667,-61.6667,24.58,83,100,2.06,GP,1683859442
48,neiafu,-18.65,-173.9833,28.38,78,40,4.12,TO,1683859442
49,galliano,29.4422,-90.2992,26.8,83,75,4.12,US,1683859442
50,isafjordur,66.0755,-23.124,6.16,96,100,1.8,IS,1683859443
51,lihue,21.9789,-159.3672,25.52,69,75,4.63,US,1683859443
52,mhamid,29.82,-5.72,25.87,17,8,2.7,MA,1683859444
53,puerto natales,-51.7236,-72.4875,7.67,85,98,3.85,CL,1683859444
54,afaahiti,-17.75,-149.2833,26.93,92,100,10.73,PF,1683859446
55,glace bay,46.1969,-59.957,2.59,77,20,3.58,CA,1683859446
56,invercargill,-46.4,168.35,12.13,80,87,4.1,NZ,1683859446
57,kone,-21.0595,164.8658,25.58,60,100,3.39,NC,1683859447
58,dolinsk,47.35,142.8,9.51,51,11,1.96,RU,1683859447
59,imbituba,-28.24,-48.6703,14.85,80,48,5.01,BR,1683859448
60,pattaya,12.9333,100.8833,30.19,65,98,5.34,TH,1683859303
61,port alfred,-33.5906,26.891,15.66,97,100,1.79,ZA,1683859448
62,perelyub,51.8667,50.3667,10.8,91,97,4.25,RU,1683859449
63,fort bragg,35.139,-79.006,20.16,68,0,3.09,US,1683859450
64,nar'yan-mar,67.6713,53.087,0.57,99,100,2.93,RU,1683859450
65,happy valley-goose bay,53.3168,-60.3315,3.17,52,20,1.03,CA,1683859451
66,mantua,45.1667,10.7833,12.56,89,99,0.49,IT,1683859451
67,porto novo,6.4965,2.6036,28.9,85,96,2.17,BJ,1683859452
68,kashmar,35.2383,58.4656,20.98,40,40,4.12,IR,1683859452
69,broome,42.2506,-75.833,13.26,78,6,1.05,US,1683859452
70,dor marunt,44.45,26.9167,5.92,88,81,2.55,RO,1683859453
71,elko,41.0002,-115.5012,14.0,32,100,4.02,US,1683859454
72,arrifes,37.7667,-25.7,16.14,82,75,2.06,PT,1683859454
73,edinburgh of the seven seas,-37.0676,-12.3116,17.07,86,92,12.45,SH,1683859454
74,saldanha,-33.0117,17.9442,11.03,68,36,12.52,ZA,1683859455
75,constantia,44.1833,28.65,5.38,63,64,5.31,RO,1683859455
76,khovd,48.0056,91.6419,18.34,21,10,3.86,MN,1683859456
77,at taj,24.2049,23.2857,20.39,38,71,3.32,LY,1683859456
78,khandyga,62.6667,135.6,4.9,64,100,1.73,RU,1683859456
79,tralee,52.2704,-9.7026,7.89,96,16,1.52,IE,1683859456
80,greymouth,-42.4667,171.2,13.06,44,6,1.14,NZ,1683859457
81,hanzhong,33.0728,107.0303,23.06,47,48,0.87,CN,1683859457
82,eatonton,33.3268,-83.3885,20.78,79,77,2.19,US,1683859458
83,sitka,57.0531,-135.33,12.94,54,100,6.69,US,1683859458
84,jiangyou,31.7667,104.7167,25.84,32,60,1.75,CN,1683859459
85,blackmans bay,-43.0167,147.3167,15.68,61,66,1.65,AU,1683859461
86,nemuro,43.3236,145.575,6.55,75,5,4.03,JP,1683859461
87,sant lluis,39.8526,4.2594,12.22,94,0,1.54,ES,1683859462
88,wuyang,31.9925,116.2472,23.59,35,16,3.01,CN,1683859462
89,fisterra,42.9049,-9.2629,12.14,80,52,6.62,ES,1683859463
90,aasiaat,68.7098,-52.8699,-3.47,94,100,3.51,GL,1683859463
91,hamilton,39.1834,-84.5333,20.26,75,0,3.6,US,1683859031
92,hawaiian paradise park,19.5933,-154.9731,24.24,79,100,2.57,US,1683859464
93,hermanus,-34.4187,19.2345,9.33,75,92,7.63,ZA,1683859464
94,new norfolk,-42.7826,147.0587,13.52,52,49,1.34,AU,1683859464
95,jamestown,42.097,-79.2353,16.48,56,0,3.6,US,1683859276
96,at-bashi,41.1702,75.8106,14.91,31,100,0.67,KG,1683859470
97,hirara,24.8,125.2833,26.15,61,40,4.63,JP,1683859279
98,lev tolstoy,53.2134,39.446,7.49,89,93,3.22,RU,1683859471
99,homer,59.6425,-151.5483,9.96,58,75,3.09,US,1683859258
100,saipan,15.1355,145.701,29.8,100,14,3.58,MP,1683859471
101,poxoreo,-15.8372,-54.3892,20.93,75,93,0.29,BR,1683859472
102,ulsteinvik,62.3432,5.8487,9.81,94,100,1.01,NO,1683859472
103,newman,37.3138,-121.0208,23.18,56,0,2.47,US,1683859473
104,udachny,66.4167,112.4,4.14,51,100,6.85,RU,1683859473
105,selfoss,63.9331,-20.9971,8.36,96,100,11.14,IS,1683859473
106,college,64.8569,-147.8028,14.46,41,75,3.09,US,1683859474
107,iqaluit,63.7506,-68.5145,-7.15,93,20,1.03,CA,1683859474
108,murzuq,25.9155,13.9184,20.66,39,95,4.34,LY,1683859474
109,igarka,67.4667,86.5833,-10.96,81,85,8.15,RU,1683859475
110,badagara,11.6,75.5833,28.35,81,99,0.94,IN,1683859475
111,port isabel,26.0734,-97.2086,27.44,89,100,4.63,US,1683859475
112,west end,26.6833,-78.9667,23.99,73,8,8.31,BS,1683859476
113,afif,23.9065,42.9172,25.08,10,21,2.58,SA,1683859476
114,qaqortoq,60.7167,-46.0333,1.58,89,100,1.22,GL,1683859477
115,yevlakh,40.6183,47.1501,16.57,72,95,4.82,AZ,1683859477
116,margaret river,-33.95,115.0667,16.71,56,87,5.67,AU,1683859478
117,east london,-33.0153,27.9116,18.09,83,100,6.24,ZA,1683859478
118,new london,41.4834,-72.0662,16.18,64,0,1.54,US,1683859478
119,chui,-33.6971,-53.4616,14.3,64,87,1.97,UY,1683859479
120,piacabucu,-10.4056,-36.4344,25.04,83,15,3.73,BR,1683859479
121,beya,53.0533,90.9139,16.11,65,96,8.42,RU,1683859479
122,thunder bay,48.4001,-89.3168,11.95,82,40,4.12,CA,1683859055
